codigo	descricao
1001	Número da carteira inválido.
1002	Número do cartão nacional de saúde inválido.
1003	A admissão do beneficiário no prestador ocorreu antes da inclusão do beneficiário na operadora.
1004	Solicitação anterior à inclusão do beneficiário.
1005	Atendimento anterior à inclusão do beneficiário.
1006	Atendimento após o desligamento do beneficiário.
1007	Atendimento dentro da carência do beneficiário.
1008	Assinatura divergente.
1009	Beneficiário com pagamento em aberto.
1010	Assinatura do titular / responsável inexistente.
1011	Identificação do beneficiário não consistente.
1012	Serviço profissional hospitalar não é coberto pelo plano do beneficiário.
1013	Cadastro do beneficiário com problemas.
1014	Beneficiário com data de exclusão.
1015	Idade do beneficiário acima idade limite.
1016	Beneficiário com atendimento suspenso.
1017	Data validade da carteira vencida.
1018	Empresa do beneficiário suspensa / excluída.
1019	Família do beneficiário com atendimento suspenso.
1020	Via de cartão do beneficiário cancelada.
1021	Via de cartão do beneficiário não liberada.
1022	Via de cartão do beneficiário não compatível.
1023	Nome do titular inválido.
1024	Plano não existente.
1025	Beneficiário não possui cobertura para assistência odontológica.
1101	Quantidade de guias informadas no protocolo diferente das cadastradas.
1102	Protocolo é de reapresentação.
1103	Protocolo não é de reapresentação.
1104	Valor total do protocolo diferente do valor total das guias.
1201	Atendimento fora da vigência do contrato com o credenciado.
1202	Número do CNES inválido.
1203	Código prestador inválido.
1204	Admissão anterior à inclusão do credenciado na rede.
1205	Admissão após o desligamento do credenciado da rede.
1206	CPF/CNPJ inválido.
1207	Credenciado não pertence à rede credenciada.
1208	Solicitação anterior à inclusão do credenciado.
1209	Solicitação após o desligamento do credenciado.
1210	Solicitante credenciado não cadastrado.
1211	Assinatura / carimbo do credenciado inexistente.
1212	Atendimento / referência fora da vigência do contrato do prestador.
1213	CBO (especialidade) inválido.
1214	Credenciado não habilitado a realizar o procedimento.
1215	Credenciado fora da abrangência geográfica do plano.
1216	Especialidade não cadastrada.
1217	Especialidade não cadastrada para o prestador.
1218	Código de prestador incompatível com procedimento / exame cobrado.
1301	Tipo guia inválido.
1302	Código tipo guia principal e número guias incompatíveis.
1303	Não existe o número guia principal informado.
1304	Cobrança em guia indevida.
1305	Item pago em outra guia.
1306	Não existe número guia principal e/ou código guia principal.
1307	Número da guia inválido.
1308	Guia já apresentada.
1309	Procedimento contratado não está de acordo com o tipo de guia utilizado.
1310	Serviço do tipo cirúrgico e invasivo. Equipe médica não informada na guia.
1311	Prestador executante não informado.
1312	Prestador contratado não informado.
1313	Guia com rasura.
1314	Guia sem assinatura e/ou carimbo do credenciado.
1315	Guia sem data do ato cirúrgico.
1316	Guia com local de atendimento preenchido incorretamente.
1317	Guia sem data do atendimento.
1318	Guia com código de serviço preenchido incorretamente.
1319	Guia sem assinatura do assistido.
1320	Identificação do assistido incompleta.
1321	Validade da guia expirada.
1322	Comprovante presencial ou GTO não enviado.
1323	Data preenchida incorretamente.
1401	Acomodação não autorizada.
1402	Procedimento não autorizado.
1403	Não existe informação sobre a senha de autorização do procedimento.
1404	Não existe guia de autorização relacionada.
1405	Data de validade da senha é anterior à data do atendimento.
1406	Número da senha informado diferente do liberado.
1407	Serviço solicitado não possui cobertura.
1408	Quantidade serviço solicitada acima da autorizada.
1409	Quantidade serviço solicitada acima coberta.
1410	Serviço solicitado em carência.
1411	Solicitante não informado.
1412	Problemas no sistema autorizador.
1413	Acomodação não possui cobertura.
1414	Data de validade da senha expirada.
1415	Procedimento não autorizado para o beneficiário.
1416	Solicitante não cadastrado.
1417	Solicitante não habilitado.
1418	Solicitante suspenso.
1419	Serviço solicitado já autorizado.
1420	Serviço solicitado fora da cobertura.
1421	Serviço solicitado é de pré-existência.
1422	Especialidade não cadastrada para o solicitante.
1423	Quantidade solicitada acima da quantidade permitida.
1424	Quantidade autorizada acima da quantidade permitida.
1425	Necessita pré-autorização da empresa.
1426	Não autorizado pela auditoria médica.
1427	Necessidade de auditoria médica.
1428	Falta de autorização da empresa de conectividade.
1429	CBO-s (especialidade) não autorizado a realizar o serviço.
1430	Procedimento odontológico não autorizado.
1431	Procedimento não autorizado na face solicitada.
1432	Procedimento não autorizado para dente/região solicitada.
1433	Procedimento não autorizado, dente ausente.
1434	Cobrança de conta de CTI neonatal na senha do parto.
1435	Vigência do acordo posterior à data de realização do procedimento.
1436	Cancelamento do acordo anterior à data de realização do procedimento.
1437	Senha de autorização cancelada.
1438	Procedimento solicitado não autorizado por não atender a diretriz de utilização (DUT) do rol de procedimentos e eventos em saúde da ANS.
1501	Tempo de evolução da doença inválido.
1502	Tipo de doença inválido.
1503	Indicador de acidente inválido.
1504	Caráter de internação inválido.
1505	Regime da internação inválido.
1506	Tipo de internação inválido.
1507	Urgência não aplicável.
1508	Código CID não informado.
1509	Código CID inválido.
1601	Reincidência no atendimento.
1602	Tipo de atendimento inválido ou não informado.
1603	Tipo de consulta inválido.
1604	Tipo de saída inválido.
1605	Intervenção anterior à admissão.
1606	Final da intervenção anterior ao início da intervenção.
1607	Alta hospitalar anterior ao final da intervenção.
1608	Alta anterior à data de internação.
1609	Motivo saída inválido.
1610	Óbito mulher inválido.
1611	Intervenção anterior a internação.
1612	Serviço não pode ser realizado no local especificado.
1613	Consulta não autorizada.
1614	Serviço ambulatorial não autorizado.
1615	Internação não autorizada.
1701	Cobrança fora do prazo de validade.
1702	Cobrança de procedimento em duplicidade.
1703	Horário do atendimento não está na faixa de urgência/emergência.
1704	Valor cobrado superior ao acordado em pacote.
1705	Valor apresentado a maior.
1706	Valor apresentado a menor.
1707	Não existe informação sobre a tabela que será utilizada na valoração. Verifique o contrato do prestador.
1708	Não existe valor para o procedimento realizado.
1709	Falta prescrição médica.
1710	Falta visto da enfermagem.
1711	Procedimento pertence a um pacote acordado e já cobrado.
1712	Assinatura do médico responsável pelo exame inexistente.
1713	Faturamento inválido.
1714	Valor do serviço superior ao valor de tabela.
1715	Valor do serviço inferior ao valor de tabela.
1716	Percentual de redução/acréscimo fora dos valores definidos em tabela.
1717	Pago conforme relatório de auditoria externa - conta inicial.
1718	Reanálise negada, pago conforme relatório auditoria.
1719	Reanálise negada, análise conforme tabela acordada.
1720	Liberados 150% de vídeo, sem cobertura para adicional de acomodação.
1721	Código cobrado substituído pelo código pago.
1722	Pago conforme negociação.
1723	Adicional de urgência não previsto para atendimento clínico.
1724	Visita médica cobrada pela equipe cirúrgica incluída no período de 10 dias após realização do procedimento cirúrgico.
1725	Valor pago a maior referente à taxa administrativa.
1726	Valor apresentado a maior - plano individual.
1727	Pago valor compatível com o procedimento.
1728	Cobrança de material incluso no procedimento / exame realizado.
1729	Cobrança de material com valor acima do permitido para procedimento/exame realizado.
1730	Filme incluso no exame realizado.
1731	Taxa incompatível para atendimento ambulatorial.
1732	QT com data de evento divergente da liberada.
1733	Recuperação de valores por pagamento indevido.
1734	Cobrado conta aberta, pago o pacote conforme negociação.
1735	Cobrança de pacote não negociado com o prestador.
1736	Conta aguardando negociação para pagamento.
1737	Diferença deve ser cobrada do beneficiário pelo prestador como franquia.
1738	Documento fiscal não enviado.
1739	Duplicidade de conta devido a período cobrado já efetuado em outra parcial.
1740	Estorno do valor de procedimento pago.
1741	Honorário ou procedimento já pago a outro prestador.
1742	Honorário ou procedimento já pago por reembolso ao beneficiário.
1743	Não há negociação para cobrança do kit, discriminar por itens.
1744	Negociação diferenciada devido a liminar.
1745	Pagamento da equipe conforme relatório do cirurgião.
1746	Percentual de acréscimo diferente do negociado.
1747	Plano do beneficiário e o tipo de acomodação não permitem acréscimo de honorários.
1748	Procedimento não caracteriza urgência/emergência.
1749	Relatório de auditoria não enviado na conta.
1801	Procedimento inválido.
1802	Procedimento incompatível com o sexo do beneficiário.
1803	Idade do beneficiário incompatível com o procedimento.
1804	Número de dias liberados / sessões autorizadas não informadas.
1805	Valor total do procedimento diferente do valor processado.
1806	Quantidade de procedimento deve ser maior que zero.
1807	Procedimentos médicos duplicados.
1808	Procedimento não conforme com CID.
1809	Cobrança de procedimento não executado.
1810	Cobrança de procedimento não solicitado pelo médico.
1811	Procedimento sem registro de execução.
1812	Cobrança de procedimento não correlacionado ao relatório específico.
1813	Cobrança de procedimento sem justificativa para realização ou com justificativa insuficiente.
1814	Cobrança de procedimento com data de autorização posterior à do atendimento.
1815	Procedimento não autorizado.
1816	Cobrança de procedimento em quantidade incompatível com o procedimento/evolução clínica.
